id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10001130,Call of Duty®: Black Ops 6 - Cross-Gen Bundle,2024-06-13T18:34:57.471115,"PS4, PS5",Action,Activision,10/25/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$69.99,$69.99,No hay información,No hay otra promoción,USA
228748,Fortnite,2024-06-13T18:35:05.072433,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6896463 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-06-13T18:35:06.678875,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.02,36000 ratings,34%,11%,11%,8%,35%,$69.99,$69.99,Included,No hay otra promoción,USA
221852,Destiny 2 PS4™ & PS5™,2024-06-13T18:35:08.298281,"PS4, PS5","Shooter, Adventure, Action",Bungie,12/8/2020,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.27,295005 ratings,70%,11%,6%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-06-13T18:35:10.039176,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$69.99,$69.99,Included,No hay otra promoción,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-06-13T18:35:17.804290,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.33,262599 ratings,73%,10%,5%,2%,11%,$39.99,$9.99,No hay información,No hay otra promoción,USA
231761,Diablo® IV: Vessel of Hatred™ - Expansion Bundle,2024-06-13T18:35:19.391414,"PS4, PS5",Unique,"Blizzard Entertainment, Inc.",6/9/2024,No hay información,4.14,7555 ratings,68%,9%,6%,2%,15%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10003151,EA SPORTS™ College Football 25 Deluxe Edition,2024-06-13T18:35:20.969930,PS5,Sport,Electronic Arts Inc,7/15/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$99.99,$99.99,No hay información,$89.99,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-06-13T18:35:28.483976,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,697731 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10006239,Madden NFL 24,2024-06-13T18:35:29.999437,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.17,12530 ratings,36%,13%,12%,8%,31%,$69.99,$69.99,No hay información,Included,USA
10008651,MLB® The Show™ 24 PS5®,2024-06-13T18:35:31.689331,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,3.85,2418 ratings,57%,13%,7%,4%,19%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
223118,Roblox,2024-06-13T18:35:33.376530,PS4,Unique,ROBLOX Corporation,10/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",4.21,315652 ratings,68%,9%,11%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
10000333,ELDEN RING PS4 & PS5,2024-06-13T18:35:34.803333,"PS4, PS5",Role Playing Games,Bandai Namco Entertainment America Inc.,2/25/2022,"English, French (France), Portuguese (Brazil), Spanish",4.73,76115 ratings,90%,4%,1%,1%,4%,$59.99,$59.99,No hay información,No hay otra promoción,USA
10007902,DRAGON BALL: Sparking! ZERO,2024-06-13T18:35:36.306695,PS5,Action,Bandai Namco Entertainment America Inc.,10/10/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$69.99,$69.99,No hay información,No hay otra promoción,USA
10000896,Genshin Impact,2024-06-13T18:35:43.954068,"PS4, PS5","Action, Role Playing Games, Adventure",COGNOSPHERE PTE. LTD.,4/27/2021,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Portugal), Russian, Spanish, Thai, Turkish, Vietnamese",4.41,340968 ratings,75%,9%,5%,1%,9%,Free,Free,No hay información,No hay otra promoción,USA
212779,Minecraft,2024-06-13T18:35:45.476226,PS4,Adventure,Mojang,12/10/2019,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",4.32,1585506 ratings,72%,9%,7%,1%,11%,$19.99,$9.99,No hay información,No hay otra promoción,USA
10008884,Sea of Thieves,2024-06-13T18:35:47.188158,PS5,Adventure,Microsoft Corporation,4/30/2024,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish",4.44,7265 ratings,79%,8%,2%,2%,10%,$39.99,$29.99,No hay información,No hay otra promoción,USA
10007965,V Rising,2024-06-13T18:35:48.731019,PS5,"Adventure, Action, Role Playing Games",Stunlock Studios AB,6/11/2024,"Chinese (Simplified), English, French (France), German, Japanese, Korean, Portuguese (Brazil), Russian, Spanish",4.41,927 ratings,78%,8%,2%,2%,10%,$39.99,$39.99,No hay información,No hay otra promoción,USA
10004911,Mortal Kombat™ 1,2024-06-13T18:35:50.464204,PS5,Fighting,Warner Bros. Interactive,9/19/2023,"English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.39,23608 ratings,69%,16%,5%,2%,7%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
10002456,Marvel’s Spider-Man 2,2024-06-13T18:35:52.014514,PS5,Action,Sony Interactive Entertainment,10/20/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.85,125278 ratings,92%,5%,2%,1%,1%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
232248,Fallout 76,2024-06-13T18:35:53.626725,PS4,Role Playing Games,Bethesda Softworks,11/14/2018,"English, French (France), Portuguese (Brazil), Spanish",3.61,51016 ratings,51%,12%,8%,6%,23%,$39.99,$39.99,Included,No hay otra promoción,USA
10001261,MultiVersus,2024-06-13T18:35:55.536797,"PS4, PS5",Fighting,Warner Bros. Interactive,7/26/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",3.96,60056 ratings,61%,11%,9%,2%,17%,Free,Free,No hay información,No hay otra promoción,USA
10009210,Killer Klowns From Outer Space: The Game,2024-06-13T18:35:57.002936,PS5,"Horror, Action",IllFonic Inc.,5/28/2024,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish",4.41,1219 ratings,75%,11%,2%,3%,9%,$39.99,$39.99,No hay información,No hay otra promoción,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-06-13T18:35:58.666798,"PS4, PS5",Sport,2K,3/8/2024,No hay información,4.48,5622 ratings,77%,11%,4%,2%,7%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10000657,HELLDIVERS™ 2,2024-06-13T18:36:01.173721,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.48,78830 ratings,80%,7%,2%,1%,9%,$39.99,$39.99,No hay información,No hay otra promoción,USA
