id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-04-05T09:25:12.159820,"PS4, PS5",Deporte,EA Swiss Sarl,28/9/2023,No hay información,3.4,63552 calificaciones,45 %,12 %,10 %,6 %,28 %,"79,99 €","79,99 €",No hay información,Prueba de juego,ESP
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-04-05T09:25:14.089025,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2/11/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.04,305131 calificaciones,61 %,11 %,12 %,2 %,14 %,"79,99 €","47,99 €",No hay información,No hay otra promoción,ESP
228748,Fortnite,2024-04-05T09:25:15.790684,PS5,"Acción, Aventura",EPIC GAMES,21/7/2017,"Alemán, Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Árabe",4.32,6765513 calificaciones,71 %,10 %,8 %,1 %,10 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-04-05T09:25:17.423018,PS5,Deporte,2K,7/9/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.09,25111 calificaciones,35 %,12 %,12 %,8 %,33 %,"79,99 €","19,99 €",Incluido,No hay otra promoción,ESP
201930,Grand Theft Auto Online (PlayStation®5),2024-04-05T09:25:19.215442,PS5,"Acción, Aventura",Rockstar Games,14/3/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.52,682372 calificaciones,79 %,8 %,5 %,1 %,7 %,"19,99 €","19,99 €",No hay información,No hay otra promoción,ESP
10005844,Dragon's Dogma 2,2024-04-05T09:25:20.529248,PS5,"Acción, Juegos de rol",CE EUROPE LIMITED,21/3/2024,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso, Árabe",4.12,15185 calificaciones,67 %,9 %,5 %,4 %,14 %,"74,99 €","74,99 €",No hay información,No hay otra promoción,ESP
10002427,eFootball™ 2024,2024-04-05T09:25:22.432565,PS5,Deporte,Konami,30/9/2021,"Alemán, Español, Francés (Francia), Griego, Inglés, Italiano, Neerlandés, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",3.75,276151 calificaciones,53 %,12 %,13 %,3 %,20 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10008286,ARK: Survival Ascended,2024-04-05T09:25:24.071206,PS5,"Aventura, Juegos de rol",WILDCARD PROPERTIES,30/11/2023,"Alemán, Chino (Simplificado), Danés, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Portugués (Brasil), Ruso, Turco",4.06,8275 calificaciones,66 %,9 %,5 %,4 %,16 %,"44,99 €","35,99 €",No hay información,No hay otra promoción,ESP
10000956,Gran Turismo™ 7,2024-04-05T09:25:25.609206,"PS4, PS5",Conducción/Carreras,Polyphony Digital Inc,3/3/2022,"Alemán, Checo, Español, Francés (Francia), Griego, Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Portugal), Ruso, Turco, Árabe",4.35,18488 calificaciones,71 %,13 %,5 %,2 %,9 %,"79,99 €","49,59 €",No hay información,No hay otra promoción,ESP
10000657,HELLDIVERS™ 2,2024-04-05T09:25:27.337201,PS5,Acción,Sony Interactive Entertainment Europe,8/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso",4.52,56669 calificaciones,81 %,7 %,2 %,1 %,8 %,"39,99 €","39,99 €",No hay información,No hay otra promoción,ESP
209441,Red Dead Redemption 2,2024-04-05T09:25:28.880423,PS4,"Acción, Aventura, Únicos",Rockstar Games,25/10/2018,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.71,232575 calificaciones,88 %,5 %,2 %,1 %,4 %,"59,99 €","19,79 €",No hay información,No hay otra promoción,ESP
10003386,Rise of the Ronin™,2024-04-05T09:25:30.382883,PS5,"Acción, Aventura",Sony Interactive Entertainment Europe,21/3/2024,"Alemán, Danés, Español, Finlandés, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Noruego, Polaco, Portugués (Portugal), Ruso, Sueco, Turco",4.3,6972 calificaciones,69 %,14 %,5 %,4 %,9 %,"79,99 €","79,99 €",No hay información,No hay otra promoción,ESP
232447,Versión de Hogwarts Legacy para PS5,2024-04-05T09:25:31.735249,PS5,Únicos,WARNER BROS. INTERACTIVE,9/2/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso, Árabe",4.5,33466 calificaciones,72 %,17 %,6 %,2 %,4 %,"74,99 €","37,49 €",Prueba de juego,No hay otra promoción,ESP
10000896,Genshin Impact,2024-04-05T09:25:33.125035,"PS4, PS5","Acción, Aventura, Juegos de rol",COGNOSPHERE PTE. LTD.,27/4/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Portugal), Ruso, Tailandés, Turco, Vietnamita",4.41,328416 calificaciones,76 %,9 %,5 %,1 %,9 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
233235,DRAGON BALL Z: KAKAROT PS4™ & PS5™,2024-04-05T09:25:34.683872,"PS4, PS5","Acción, Aventura, Juegos de rol",BANDAI NAMCO ENTERTAINMENT EUROPE,12/1/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso, Árabe",4.58,40983 calificaciones,79 %,10 %,6 %,1 %,4 %,"69,99 €","13,99 €",Incluido,No hay otra promoción,ESP
10002788,UFC™ 5,2024-04-05T09:25:36.168408,PS5,Lucha,EA Swiss Sarl,26/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3,6869 calificaciones,30 %,16 %,12 %,9 %,34 %,"79,99 €","47,99 €",No hay información,Prueba de juego,ESP
212779,Minecraft,2024-04-05T09:25:37.825810,PS4,Aventura,Mojang AB,9/12/2019,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Danés, Eslovenio, Español, Español (México), Finlandés, Francés (Canadá), Francés (Francia), Griego, Húngaro, Inglés, Italiano, Japonés, Neerlandés, Noruego, Polaco, Portugués (Brasil), Portugués (Portugal), Ruso, Sueco, Turco, Ucraniano",4.32,1563553 calificaciones,72 %,9 %,7 %,1 %,11 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10006891,Stellar Blade™,2024-04-05T09:25:39.259328,PS5,"Acción, Aventura",Sony Interactive Entertainment Europe,25/4/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"79,99 €","79,99 €",No hay información,No hay otra promoción,ESP
10005114,STAR WARS Jedi: Survivor™,2024-04-05T09:25:47.285002,PS5,Acción,EA Swiss Sarl,28/4/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil)",4.51,11203 calificaciones,68 %,23 %,5 %,2 %,3 %,"79,99 €","35,99 €",No hay información,No hay otra promoción,ESP
223118,Roblox,2024-04-05T09:25:48.673184,PS4,Únicos,ROBLOX Corporation,10/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.24,269523 calificaciones,68 %,9 %,11 %,1 %,10 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
231761,Diablo® IV - Standard Edition,2024-04-05T09:25:50.778028,"PS4, PS5",Únicos,"Blizzard Entertainment, Inc.",5/6/2023,No hay información,4.14,7271 calificaciones,69 %,9 %,6 %,2 %,15 %,"79,99 €","39,99 €",No hay información,No hay otra promoción,ESP
10000333,ELDEN RING PS4 & PS5,2024-04-05T09:25:52.193999,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,24/2/2022,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.72,66036 calificaciones,89 %,4 %,1 %,1 %,5 %,"59,99 €","59,99 €",No hay información,No hay otra promoción,ESP
10005275,Honkai: Star Rail,2024-04-05T09:25:53.747334,PS5,"Aventura, Juegos de rol",COGNOSPHERE PTE. LTD.,10/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español (México), Francés (Francia), Inglés, Japonés, Portugués (Brasil), Ruso",4.59,15414 calificaciones,83 %,8 %,2 %,1 %,6 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-04-05T09:25:55.379654,"PS4, PS5",Deporte,2K,7/3/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Árabe",4.61,2701 calificaciones,82 %,9 %,3 %,2 %,5 %,"74,99 €","74,99 €",No hay información,No hay otra promoción,ESP
203897,Tom Clancy's Rainbow Six® Siege - Deluxe Edition,2024-04-05T09:25:58.218988,"PS4, PS5","Acción, Juegos de disparos",UBISOFT ENTERTAINMENT SA,12/3/2024,No hay información,4.34,260066 calificaciones,73 %,10 %,5 %,2 %,11 %,"29,99 €","29,99 €",No hay información,No hay otra promoción,ESP
10002313,The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,2024-04-05T09:25:59.986022,"PS4, PS5",Conducción/Carreras,UBISOFT ENTERTAINMENT SA,14/9/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",4.27,18586 calificaciones,69 %,13 %,6 %,2 %,10 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
200763,Call of Duty®: Black Ops III - Zombies Chronicles Edition,2024-04-05T09:26:01.403288,PS4,"Acción, Juegos de disparos, Juegos de disparos",Activision Blizzard Int'l BV,28/8/2017,"Español, Italiano",4.44,363014 calificaciones,76 %,10 %,5 %,2 %,8 %,"69,99 €","23,09 €",No hay información,No hay otra promoción,ESP
228857,Los Sims™ 4,2024-04-05T09:26:03.198661,PS4,"Acción, Simulación",EA Swiss Sarl,16/11/2017,"Alemán, Danés, Español, Finlandés, Francés (Francia), Inglés, Italiano, Neerlandés, Noruego, Polaco, Ruso, Sueco",3.98,88659 calificaciones,60 %,13 %,9 %,3 %,16 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10003999,FINAL FANTASY VII REBIRTH,2024-04-05T09:26:04.921633,PS5,Juegos de rol,Square Enix LTD,28/2/2024,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.75,26977 calificaciones,90 %,3 %,2 %,1 %,4 %,"79,99 €","79,99 €",No hay información,No hay otra promoción,ESP
203715,Rocket League®,2024-04-05T09:26:06.591598,PS4,"Deporte, Acción, Conducción/Carreras",Psyonix,6/7/2015,"Alemán, Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Portugal), Ruso, Turco",4.37,1103151 calificaciones,71 %,12 %,8 %,1 %,8 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10002065,Alan Wake 2,2024-04-05T09:26:08.444424,PS5,Terror,EPIC GAMES,27/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Ucraniano",4.77,19033 calificaciones,89 %,5 %,2 %,1 %,2 %,"59,99 €","47,99 €",Prueba de juego,No hay otra promoción,ESP
10004865,Assassin's Creed® Mirage,2024-04-05T09:26:11.192768,"PS4, PS5","Acción, Aventura",UBISOFT ENTERTAINMENT SA,4/10/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",3.97,15295 calificaciones,50 %,22 %,12 %,7 %,9 %,"49,99 €","29,99 €",No hay información,No hay otra promoción,ESP
221852,Destiny 2 PS4™ & PS5™,2024-04-05T09:26:13.620945,"PS4, PS5","Aventura, Juegos de disparos, Acción",Bungie,8/12/2020,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso",4.28,289035 calificaciones,70 %,11 %,6 %,2 %,10 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
217012,DRAGON BALL XENOVERSE 2,2024-04-05T09:26:16.620092,PS4,"Acción, Casual, Lucha",BANDAI NAMCO ENTERTAINMENT EUROPE,26/10/2016,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",3.84,216413 calificaciones,60 %,10 %,7 %,2 %,22 %,"19,99 €","9,99 €",Incluido,No hay otra promoción,ESP
10007460,Baldur's Gate 3,2024-04-05T09:26:19.060395,PS5,Juegos de rol,Larian Studios Games Ltd,6/9/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Ucraniano",4.82,44295 calificaciones,92 %,3 %,1 %,1 %,3 %,"69,99 €","69,99 €",Prueba de juego,No hay otra promoción,ESP
234689,It Takes Two para PS4™ y PS5™,2024-04-05T09:26:20.793509,"PS4, PS5",Únicos,EA Swiss Sarl,25/3/2021,No hay información,4.41,67343 calificaciones,75 %,9 %,7 %,1 %,8 %,"39,99 €","9,99 €",No hay información,Incluido,ESP
235227,Ghost of Tsushima DIRECTOR’S CUT,2024-04-05T09:26:23.596216,"PS4, PS5",Juegos de rol,Sony Interactive Entertainment Europe,19/8/2021,"Alemán, Checo, Croata, Danés, Español, Finlandés, Francés (Francia), Griego, Húngaro, Inglés, Italiano, Japonés, Neerlandés, Noruego, Polaco, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",4.55,150757 calificaciones,83 %,6 %,3 %,1 %,8 %,"79,99 €","39,99 €",No hay información,No hay otra promoción,ESP
10009025,Planet Zoo,2024-04-05T09:26:25.850250,PS5,"Casual, Familia, Simulación",FRONTIER DEVELOPMENTS PLC,26/3/2024,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Danés, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Noruego, Polaco, Portugués (Brasil), Sueco",4.56,806 calificaciones,81 %,8 %,3 %,2 %,6 %,"49,99 €","49,99 €",No hay información,No hay otra promoción,ESP
10002456,Marvel’s Spider-Man 2,2024-04-05T09:26:27.542175,PS5,Acción,Sony Interactive Entertainment Europe,19/10/2023,"Alemán, Checo, Danés, Español, Finlandés, Francés (Francia), Griego, Húngaro, Inglés, Italiano, Neerlandés, Noruego, Polaco, Portugués (Portugal), Ruso, Sueco, Árabe",4.87,113479 calificaciones,92 %,5 %,1 %,1 %,1 %,"79,99 €","79,99 €",Prueba de juego,No hay otra promoción,ESP
10006270,TEKKEN 8,2024-04-05T09:26:29.406529,PS5,"Acción, Lucha",BANDAI NAMCO ENTERTAINMENT EUROPE,25/1/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso, Árabe",4.64,8032 calificaciones,85 %,4 %,5 %,1 %,5 %,"79,99 €","79,99 €",No hay información,No hay otra promoción,ESP
234567,Cyberpunk 2077,2024-04-05T09:26:31.145882,"PS4, PS5","Juegos de rol, Únicos",CD PROJEKT,15/2/2022,No hay información,4.34,98798 calificaciones,72 %,12 %,4 %,3 %,10 %,"49,99 €","49,99 €",Prueba de juego,No hay otra promoción,ESP
205342,Warframe®,2024-04-05T09:26:33.001571,PS5,"Acción, Juegos de disparos, Únicos",Digital Extremes,26/11/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso, Turco",4.34,666293 calificaciones,67 %,15 %,9 %,2 %,7 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
205366,War Thunder,2024-04-05T09:26:34.946885,PS5,"Simulación, Acción, Únicos",Gaijin Distribution KFT,16/11/2020,"Alemán, Checo, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso, Ucraniano",4.16,343147 calificaciones,62 %,15 %,11 %,3 %,10 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
232352,Apex Legends™ PS5™,2024-04-05T09:26:36.950145,PS5,"Acción, Juegos de disparos",EA Swiss Sarl,28/3/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso",4.13,762224 calificaciones,65 %,12 %,8 %,2 %,13 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10000248,HITMAN World of Assassination,2024-04-05T09:26:38.392357,"PS4, PS5",Acción,IO Interactive A/S,26/1/2023,No hay información,4.35,26400 calificaciones,72 %,11 %,8 %,1 %,9 %,"69,99 €","27,99 €",No hay información,No hay otra promoción,ESP
10008884,Sea of Thieves,2024-04-05T09:26:40.043620,PS5,Aventura,Microsoft Corporation,30/4/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"39,99 €","39,99 €",No hay información,No hay otra promoción,ESP
10004473,Resident Evil 4 PS4 & PS5,2024-04-05T09:26:47.607683,"PS4, PS5","Acción, Aventura, Terror",CE EUROPE LIMITED,23/3/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso, Árabe",4.8,53496 calificaciones,89 %,5 %,4 %,0 %,2 %,"39,99 €","39,99 €",No hay información,No hay otra promoción,ESP
230079,The Last of Us™ Parte II Remastered,2024-04-05T09:26:49.112363,PS5,"Acción, Aventura",Sony Interactive Entertainment Europe,18/1/2024,"Alemán, Checo, Croata, Danés, Español, Finlandés, Francés (Francia), Griego, Húngaro, Inglés, Italiano, Neerlandés, Noruego, Polaco, Portugués (Portugal), Ruso, Sueco, Turco",4.44,173204 calificaciones,80 %,5 %,3 %,3 %,9 %,"49,99 €","49,99 €",No hay información,No hay otra promoción,ESP
10000237,Assassin's Creed Valhalla PS4 & PS5,2024-04-05T09:26:51.660851,"PS4, PS5",Juegos de rol,UBISOFT ENTERTAINMENT SA,11/11/2020,No hay información,4.17,49475 calificaciones,65 %,13 %,7 %,4 %,11 %,"69,99 €","69,99 €",Incluido,Incluido,ESP
10006305,MotoGP™23 PS4 & PS5,2024-04-05T09:26:53.040867,"PS4, PS5","Conducción/Carreras, Deporte",MILESTONE SRL,7/6/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Tailandés",3.1,1375 calificaciones,37 %,10 %,13 %,9 %,32 %,"69,99 €","13,99 €",Incluido,No hay otra promoción,ESP
10004911,Mortal Kombat™ 1,2024-04-05T09:26:54.711021,PS5,Lucha,WARNER BROS. INTERACTIVE,18/9/2023,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.42,21086 calificaciones,70 %,17 %,5 %,2 %,6 %,"74,99 €","37,49 €",Prueba de juego,No hay otra promoción,ESP
227319,Dead by Daylight PS4® & PS5®,2024-04-05T09:26:56.668999,"PS4, PS5","Terror, Acción, Terror",STARBREEZE PUBLISHING AB,11/11/2020,No hay información,4.19,102955 calificaciones,67 %,13 %,5 %,2 %,13 %,"29,99 €","29,99 €",Incluido,No hay otra promoción,ESP
10000762,Marvel's Spider-Man Remastered,2024-04-05T09:26:58.266061,PS5,Acción,Sony Interactive Entertainment Europe,3/5/2023,"Checo, Danés, Español, Finlandés, Griego, Húngaro, Inglés, Neerlandés, Noruego, Portugués (Portugal), Sueco",4.7,208040 calificaciones,84 %,8 %,4 %,1 %,3 %,"59,99 €","34,79 €",No hay información,No hay otra promoción,ESP
10008651,MLB® The Show™ 24 PS5®,2024-04-05T09:26:59.609822,"PS4, PS5",Deporte,Sony Interactive Entertainment,19/3/2024,Inglés,4,803 calificaciones,66 %,9 %,4 %,3 %,18 %,"69,99 €","69,99 €",No hay información,No hay otra promoción,ESP
204861,The Elder Scrolls Online,2024-04-05T09:27:01.176429,"PS4, PS5","Juegos de rol, Juegos de rol",Bethesda,15/6/2021,No hay información,4.35,71840 calificaciones,70 %,14 %,6 %,2 %,8 %,"19,99 €","4,99 €",No hay información,No hay otra promoción,ESP
10000758,Battlefield™ 2042 para PS5,2024-04-05T09:27:02.590021,"PS4, PS5",Juegos de disparos,EA Swiss Sarl,18/11/2021,No hay información,3.28,36621 calificaciones,43 %,10 %,8 %,7 %,31 %,"79,99 €","11,99 €",No hay información,Incluido,ESP
10001609,Suicide Squad: Kill the Justice League,2024-04-05T09:27:04.312992,PS5,Juegos de disparos,WARNER BROS. INTERACTIVE,1/2/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Árabe",4.22,9804 calificaciones,64 %,17 %,6 %,4 %,9 %,"79,99 €","79,99 €",No hay información,No hay otra promoción,ESP
225700,SKULL AND BONES™,2024-04-05T09:27:05.902338,PS5,"Acción, Aventura",UBISOFT ENTERTAINMENT SA,15/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",3.08,10744 calificaciones,35 %,12 %,10 %,10 %,32 %,Gratis,Gratis,No hay información,No hay otra promoción,ESP
10001850,God of War Ragnarök,2024-04-05T09:27:08.109499,"PS4, PS5",Acción,Sony Interactive Entertainment Europe,8/11/2022,No hay información,4.84,75270 calificaciones,92 %,4 %,2 %,1 %,2 %,"79,99 €","79,99 €",Prueba de juego,No hay otra promoción,ESP
233072,Rust Console Edition,2024-04-05T09:27:09.885004,PS4,"Acción, Aventura, Juegos de disparos",Double Eleven Limited,20/5/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Brasil), Ruso, Sueco",3.66,19687 calificaciones,58 %,7 %,5 %,4 %,26 %,"49,99 €","49,99 €",No hay información,No hay otra promoción,ESP
235179,Avatar: Frontiers of Pandora™,2024-04-05T09:27:11.299241,PS5,Únicos,UBISOFT ENTERTAINMENT SA,6/12/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",3.95,5774 calificaciones,56 %,15 %,9 %,6 %,13 %,"79,99 €","79,99 €",No hay información,No hay otra promoción,ESP
216600,No Man's Sky PS4 & PS5,2024-04-05T09:27:12.920559,"PS4, PS5","Acción, Aventura, Únicos",Hello Games LTD,11/11/2020,No hay información,3.81,85113 calificaciones,55 %,14 %,7 %,6 %,19 %,"49,99 €","24,99 €",No hay información,No hay otra promoción,ESP
10008874,F1® 24 Champions Edition + Bonificación por tiempo limitado,2024-04-05T09:27:14.307209,"PS4, PS5",Conducción/Carreras,EA Swiss Sarl,28/5/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"99,99 €","99,99 €",No hay información,"89,99 €",ESP
10001555,Persona 3 Reload PS4 & PS5,2024-04-05T09:27:21.868694,"PS4, PS5",Juegos de rol,SEGA EUROPE LTD,2/2/2024,No hay información,4.91,5379 calificaciones,96 %,2 %,1 %,0 %,1 %,"69,99 €","52,49 €",No hay información,No hay otra promoción,ESP
10004462,Like a Dragon: Infinite Wealth PS4 & PS5,2024-04-05T09:27:23.464513,"PS4, PS5",Juegos de rol,SEGA EUROPE LTD,25/1/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.84,4589 calificaciones,92 %,5 %,2 %,1 %,2 %,"69,99 €","52,49 €",No hay información,No hay otra promoción,ESP
10001771,Farming Simulator 22 PS4 & PS5,2024-04-05T09:27:24.973229,"PS4, PS5","Simulación, Simulador",GIANTS SOFTWARE GMBH,21/11/2021,No hay información,4.25,19210 calificaciones,70 %,10 %,6 %,2 %,11 %,"29,99 €","29,99 €",No hay información,No hay otra promoción,ESP
228868,theHunter: Call of the Wild™,2024-04-05T09:27:26.645422,PS4,"Juegos de disparos, Deporte",Expansive Worlds AB,1/10/2017,"Alemán, Español, Francés (Francia), Inglés",4.4,19864 calificaciones,73 %,12 %,5 %,2 %,8 %,"29,99 €","7,49 €",No hay información,No hay otra promoción,ESP
232374,Dying Light 2 Stay Human PS4&PS5,2024-04-05T09:27:28.165100,"PS4, PS5",Únicos,TECHLAND,3/2/2022,"Alemán, Checo, Coreano, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso, Turco, Árabe",4.14,15047 calificaciones,63 %,14 %,7 %,4 %,11 %,"69,99 €","34,99 €",Prueba de juego,No hay otra promoción,ESP
10003543,Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4),2024-04-05T09:27:29.606782,"PS4, PS5",Acción,Rockstar Games,10/11/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",3.79,6811 calificaciones,56 %,11 %,9 %,5 %,19 %,"59,99 €","29,99 €",No hay información,No hay otra promoción,ESP
10004708,TopSpin 2K25 Edición Digital Cross-Gen,2024-04-05T09:27:31.112925,PS5,Deporte,2K,25/4/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"74,99 €","74,99 €",No hay información,No hay otra promoción,ESP
10006164,Red Dead Redemption,2024-04-05T09:27:38.587954,PS4,Acción,Rockstar Games,17/8/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.77,5524 calificaciones,87 %,8 %,2 %,1 %,2 %,"49,99 €","39,99 €",No hay información,No hay otra promoción,ESP
234659,Need for Speed™ Heat,2024-04-05T09:27:39.969904,PS4,Conducción/Carreras,EA Swiss Sarl,7/11/2019,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso, Árabe",4.19,48878 calificaciones,66 %,12 %,7 %,3 %,12 %,"69,99 €","3,49 €",No hay información,Incluido,ESP
233112,Tom Clancy's Ghost Recon® Breakpoint,2024-04-05T09:27:43.381421,PS4,"Acción, Juegos de disparos, Juegos de disparos",UBISOFT ENTERTAINMENT SA,3/10/2019,"Alemán, Checo, Coreano, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil)",4.13,49449 calificaciones,64 %,13 %,7 %,3 %,12 %,Gratis,Gratis,Incluido,No hay otra promoción,ESP
10003247,RIDE 5,2024-04-05T09:27:44.961783,PS5,Conducción/Carreras,MILESTONE SRL,23/8/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.12,397 calificaciones,62 %,17 %,5 %,4 %,12 %,"79,99 €","39,99 €",Prueba de juego,No hay otra promoción,ESP
